term,score,new_main_category,sentiment,review_count,word_count
used,0.06643813512399074,Bodycare,negative,4556,50
smell,0.05413840476907639,Bodycare,negative,4556,50
protection,0.0429332533491968,Bodycare,negative,4556,50
oily,0.041304766922370686,Bodycare,negative,4556,50
thick,0.041240305526674174,Bodycare,negative,4556,50
dry,0.040421972109748135,Bodycare,negative,4556,50
little,0.03849036834376504,Bodycare,negative,4556,50
work,0.03666831256062461,Bodycare,negative,4556,50
hard,0.034428566526160755,Bodycare,negative,4556,50
burned,0.03179811613455829,Bodycare,negative,4556,50
return,0.030972489206965572,Bodycare,negative,4556,50
received,0.030106307409784046,Bodycare,negative,4556,50
broken,0.02936959455647143,Bodycare,negative,4556,50
greasy,0.028833012282088986,Bodycare,negative,4556,50
terrible,0.02870528706441485,Bodycare,negative,4556,50
horrible,0.028702655264539675,Bodycare,negative,4556,50
burn,0.02846824301667159,Bodycare,negative,4556,50
works,0.0275342983289043,Bodycare,negative,4556,50
badly,0.02691505224007492,Bodycare,negative,4556,50
leaves,0.02629851492882695,Bodycare,negative,4556,50
small,0.026264955462182875,Bodycare,negative,4556,50
tried,0.025488340981358458,Bodycare,negative,4556,50
scent,0.024071869775565254,Bodycare,negative,4556,50
worst,0.024006247256269583,Bodycare,negative,4556,50
rub,0.02378439928128129,Bodycare,negative,4556,50
recommend,0.023406042180884438,Bodycare,negative,4556,50
look,0.02312392137054085,Bodycare,negative,4556,50
awful,0.02291407793987476,Bodycare,negative,4556,50
spf,0.02201939330949092,Bodycare,negative,4556,50
expensive,0.02131990512857702,Bodycare,negative,4556,50
sunburn,0.019769942506306967,Bodycare,negative,4556,50
away,0.01959548299335274,Bodycare,negative,4556,50
waste,0.01958662174115696,Bodycare,negative,4556,50
hours,0.019345259602219337,Bodycare,negative,4556,50
unfortunately,0.019227301634277744,Bodycare,negative,4556,50
sensitive,0.01879962064253475,Bodycare,negative,4556,50
difficult,0.018680232598480194,Bodycare,negative,4556,50
brand,0.01867565678664674,Bodycare,negative,4556,50
reviews,0.01845173518561031,Bodycare,negative,4556,50
purchased,0.01824606149158658,Bodycare,negative,4556,50
sunscreens,0.017244112877045907,Bodycare,negative,4556,50
times,0.01723836284724502,Bodycare,negative,4556,50
kids,0.017211148667827067,Bodycare,negative,4556,50
tube,0.016881132066207363,Bodycare,negative,4556,50
rash,0.01668063817962523,Bodycare,negative,4556,50
spread,0.016588130540937402,Bodycare,negative,4556,50
