term,score,new_main_category,tag,review_count,word_count
used,0.0680132478181101,Bodycare,Packaging,10146,50
smell,0.05237138628763587,Bodycare,Packaging,10146,50
scent,0.05209371481863309,Bodycare,Packaging,10146,50
works,0.048606717125888106,Bodycare,Packaging,10146,50
little,0.047075491078812336,Bodycare,Packaging,10146,50
received,0.036024966191847724,Bodycare,Packaging,10146,50
easy,0.034472505274481466,Bodycare,Packaging,10146,50
spf,0.033245015286318506,Bodycare,Packaging,10146,50
work,0.03277509466251075,Bodycare,Packaging,10146,50
price,0.031687963573180766,Bodycare,Packaging,10146,50
small,0.030224945195725415,Bodycare,Packaging,10146,50
long,0.02983618363878697,Bodycare,Packaging,10146,50
light,0.02932410245284656,Bodycare,Packaging,10146,50
protection,0.029048932418869654,Bodycare,Packaging,10146,50
old,0.028035447804294174,Bodycare,Packaging,10146,50
greasy,0.027412268870647096,Bodycare,Packaging,10146,50
last,0.026436750035738168,Bodycare,Packaging,10146,50
tried,0.026296597240903764,Bodycare,Packaging,10146,50
burn,0.025817588360873493,Bodycare,Packaging,10146,50
recommend,0.025455651780359512,Bodycare,Packaging,10146,50
better,0.02545105845057663,Bodycare,Packaging,10146,50
thick,0.025354881929706245,Bodycare,Packaging,10146,50
sensitive,0.02504024795804076,Bodycare,Packaging,10146,50
sunscreens,0.02388951926393834,Bodycare,Packaging,10146,50
size,0.023756762598801724,Bodycare,Packaging,10146,50
rub,0.023419624100427087,Bodycare,Packaging,10146,50
hard,0.023394833477040067,Bodycare,Packaging,10146,50
need,0.02314993283354202,Bodycare,Packaging,10146,50
purchased,0.022811504588491367,Bodycare,Packaging,10146,50
look,0.022459809596805106,Bodycare,Packaging,10146,50
definitely,0.022243158604124683,Bodycare,Packaging,10146,50
shave,0.022233326828548484,Bodycare,Packaging,10146,50
lot,0.022213306483187905,Bodycare,Packaging,10146,50
aftershave,0.02177921196614875,Bodycare,Packaging,10146,50
easily,0.021650930072401573,Bodycare,Packaging,10146,50
kids,0.02119932280669818,Bodycare,Packaging,10146,50
ingredients,0.02073148726887249,Bodycare,Packaging,10146,50
brand,0.02070675585837908,Bodycare,Packaging,10146,50
getting,0.020590937604729555,Bodycare,Packaging,10146,50
most,0.020540605004411797,Bodycare,Packaging,10146,50
different,0.020533405625344673,Bodycare,Packaging,10146,50
few,0.0199526686092534,Bodycare,Packaging,10146,50
label,0.019510150351632883,Bodycare,Packaging,10146,50
want,0.01865136194333614,Bodycare,Packaging,10146,50
summer,0.018362860435311264,Bodycare,Packaging,10146,50
being,0.018134065251977805,Bodycare,Packaging,10146,50
zinc,0.017925466026358732,Bodycare,Packaging,10146,50
sunblock,0.017208210503026143,Bodycare,Packaging,10146,50
safe,0.01563059223085024,Bodycare,Packaging,10146,50
reef,0.013042976945836856,Bodycare,Packaging,10146,50
protection,0.2696510172562627,Bodycare,Packing,6714,50
used,0.06444202555655046,Bodycare,Packing,6714,50
easy,0.051166857295976594,Bodycare,Packing,6714,50
greasy,0.04639726452720499,Bodycare,Packing,6714,50
delivery,0.04555531369777567,Bodycare,Packing,6714,50
spf,0.04394608088956637,Bodycare,Packing,6714,50
smell,0.04385876149354414,Bodycare,Packing,6714,50
works,0.03810821244487086,Bodycare,Packing,6714,50
scent,0.03577748327163519,Bodycare,Packing,6714,50
sensitive,0.0353642793583671,Bodycare,Packing,6714,50
provides,0.03513660074459113,Bodycare,Packing,6714,50
little,0.03329182178079062,Bodycare,Packing,6714,50
need,0.029849209316704883,Bodycare,Packing,6714,50
easily,0.028806160861644683,Bodycare,Packing,6714,50
light,0.02800633108067295,Bodycare,Packing,6714,50
long,0.027576771574400152,Bodycare,Packing,6714,50
thick,0.02711804299516348,Bodycare,Packing,6714,50
sunscreens,0.02696902772735186,Bodycare,Packing,6714,50
recommend,0.026259806251943903,Bodycare,Packing,6714,50
burn,0.025191485938715077,Bodycare,Packing,6714,50
gives,0.024918253146107093,Bodycare,Packing,6714,50
perfect,0.0244083072149024,Bodycare,Packing,6714,50
zinc,0.023227815227000827,Bodycare,Packing,6714,50
better,0.022808374361934232,Bodycare,Packing,6714,50
price,0.022656868192420365,Bodycare,Packing,6714,50
hours,0.020966545686945542,Bodycare,Packing,6714,50
work,0.020701143902511574,Bodycare,Packing,6714,50
rub,0.020471826414962736,Bodycare,Packing,6714,50
found,0.020420673649598597,Bodycare,Packing,6714,50
tried,0.020012636049696383,Bodycare,Packing,6714,50
look,0.018963749424544197,Bodycare,Packing,6714,50
brand,0.018242811149224776,Bodycare,Packing,6714,50
kids,0.018149969278921426,Bodycare,Packing,6714,50
hard,0.018032240765168694,Bodycare,Packing,6714,50
definitely,0.017657980585376393,Bodycare,Packing,6714,50
safe,0.017643741342282644,Bodycare,Packing,6714,50
most,0.017426956314801883,Bodycare,Packing,6714,50
want,0.016659977150157,Bodycare,Packing,6714,50
lot,0.01650653299714662,Bodycare,Packing,6714,50
cast,0.016505375936827455,Bodycare,Packing,6714,50
tan,0.0164411515834123,Bodycare,Packing,6714,50
highly,0.01637340476451625,Bodycare,Packing,6714,50
summer,0.016316261175485708,Bodycare,Packing,6714,50
ingredients,0.016092374844255693,Bodycare,Packing,6714,50
daily,0.01588911784595226,Bodycare,Packing,6714,50
fair,0.015824222545771243,Bodycare,Packing,6714,50
wear,0.015790495769025803,Bodycare,Packing,6714,50
makeup,0.01576583388446873,Bodycare,Packing,6714,50
sunblock,0.015084253677244397,Bodycare,Packing,6714,50
mineral,0.013916446450248287,Bodycare,Packing,6714,50
smell,0.05928397898511182,Bodycare,Quality,52109,50
used,0.05710515097500066,Bodycare,Quality,52109,50
oily,0.055116460359590044,Bodycare,Quality,52109,50
works,0.0507435663203383,Bodycare,Quality,52109,50
protection,0.05019557674017111,Bodycare,Quality,52109,50
scent,0.050183069504256196,Bodycare,Quality,52109,50
greasy,0.04671877391821638,Bodycare,Quality,52109,50
excellent,0.04487810459084764,Bodycare,Quality,52109,50
dry,0.044363030054256535,Bodycare,Quality,52109,50
little,0.04132169445495425,Bodycare,Quality,52109,50
smooth,0.03764131245347285,Bodycare,Quality,52109,50
price,0.03672238401393687,Bodycare,Quality,52109,50
easy,0.0367157223139483,Bodycare,Quality,52109,50
spf,0.036123458747772404,Bodycare,Quality,52109,50
sensitive,0.034981246015535115,Bodycare,Quality,52109,50
sunscreens,0.03459128060577491,Bodycare,Quality,52109,50
burn,0.03021067083638332,Bodycare,Quality,52109,50
recommend,0.029865762787782444,Bodycare,Quality,52109,50
effective,0.029213942698392274,Bodycare,Quality,52109,50
long,0.02851024778057599,Bodycare,Quality,52109,50
light,0.027814351844801664,Bodycare,Quality,52109,50
tried,0.027659049512218745,Bodycare,Quality,52109,50
thick,0.02661737196830654,Bodycare,Quality,52109,50
work,0.02580311661031714,Bodycare,Quality,52109,50
look,0.024706667502510785,Bodycare,Quality,52109,50
shave,0.0246735623672719,Bodycare,Quality,52109,50
easily,0.024433831116304667,Bodycare,Quality,52109,50
rub,0.024391763912332838,Bodycare,Quality,52109,50
better,0.023822785230547594,Bodycare,Quality,52109,50
leaves,0.02365602063502152,Bodycare,Quality,52109,50
clean,0.023206659811688273,Bodycare,Quality,52109,50
most,0.022681620123245233,Bodycare,Quality,52109,50
kids,0.02187480864598519,Bodycare,Quality,52109,50
ingredients,0.021830629974617485,Bodycare,Quality,52109,50
cast,0.021493117975528254,Bodycare,Quality,52109,50
lot,0.021471635607313612,Bodycare,Quality,52109,50
pretty,0.021327813402880584,Bodycare,Quality,52109,50
sunblock,0.02114283104405451,Bodycare,Quality,52109,50
need,0.020902888805785603,Bodycare,Quality,52109,50
definitely,0.020762256342346887,Bodycare,Quality,52109,50
hours,0.02053607504223311,Bodycare,Quality,52109,50
makeup,0.020189052809055582,Bodycare,Quality,52109,50
found,0.020172736453103985,Bodycare,Quality,52109,50
aftershave,0.019049209449783906,Bodycare,Quality,52109,50
zinc,0.01903521998558151,Bodycare,Quality,52109,50
few,0.018911487019113767,Bodycare,Quality,52109,50
wear,0.01830781611352147,Bodycare,Quality,52109,50
body,0.017883674810888508,Bodycare,Quality,52109,50
natural,0.017073204521208474,Bodycare,Quality,52109,50
mineral,0.015845373230595577,Bodycare,Quality,52109,50
used,0.06629949829737189,Haircare,Packaging,63573,50
leaked,0.04977639493198962,Haircare,Packaging,63573,50
smell,0.04658932501394818,Haircare,Packaging,63573,50
works,0.044096085315444664,Haircare,Packaging,63573,50
received,0.036540157032647125,Haircare,Packaging,63573,50
scent,0.033211987548683666,Haircare,Packaging,63573,50
price,0.03261243314901593,Haircare,Packaging,63573,50
long,0.03233016003857833,Haircare,Packaging,63573,50
pump,0.03200457655441796,Haircare,Packaging,63573,50
colored,0.0315285034933835,Haircare,Packaging,63573,50
