category,tag,sentiment,review_count,top_terms
Bodycare,Packaging,positive,5639,"bottle, for, sunscreen, great, product"
Bodycare,Packaging,neutral,3341,"bottle, for, product, sunscreen, have"
Bodycare,Packaging,negative,1166,"bottle, product, for, sunscreen, like"
Bodycare,Quality,positive,40391,"good, for, sunscreen, skin, product"
Bodycare,Quality,negative,2994,"bad, for, skin, product, sunscreen"
Bodycare,Quality,neutral,8724,"for, skin, sunscreen, have, product"
Bodycare,Packing,positive,4830,"protection, great, for, sun, sunscreen"
Bodycare,Packing,neutral,1488,"protection, sun, for, product, sunscreen"
Bodycare,Packing,negative,396,"protection, product, sun, for, sunscreen"
Haircare,Quality,positive,284963,"hair, good, for, shampoo, product"
Haircare,Quality,neutral,72346,"hair, for, shampoo, have, product"
Haircare,Quality,negative,17330,"hair, product, for, bad, shampoo"
Haircare,Packaging,neutral,21572,"bottle, hair, product, shampoo, for"
Haircare,Packaging,positive,33710,"hair, bottle, for, shampoo, product"
Haircare,Packaging,negative,8291,"bottle, product, shampoo, hair, for"
Haircare,Packing,neutral,3128,"product, damaged, box, hair, shampoo"
Haircare,Packing,positive,5591,"hair, product, delivery, great, for"
Haircare,Packing,negative,1354,"product, box, damaged, hair, shampoo"
Makeup,Quality,positive,214506,"good, for, color, very, product"
Makeup,Quality,neutral,51702,"dry, for, have, like, product"
Makeup,Quality,negative,20479,"bad, dry, very, product, for"
Makeup,Packaging,neutral,40913,"color, like, colors, for, as"
Makeup,Packaging,positive,145121,"color, love, colors, for, great"
Makeup,Packaging,negative,13358,"color, colors, like, very, for"
Makeup,Packing,positive,6675,"product, delivery, for, box, with"
Makeup,Packing,neutral,4468,"product, damaged, box, for, with"
Makeup,Packing,negative,2463,"product, box, broken, damaged, seal"
Skincare,Quality,positive,1109397,"good, skin, for, product, love"
Skincare,Quality,negative,52970,"bad, skin, for, product, like"
Skincare,Quality,neutral,224025,"skin, for, dry, have, product"
Skincare,Packaging,positive,91558,"bottle, for, product, love, great"
Skincare,Packaging,neutral,49306,"bottle, product, for, have, like"
Skincare,Packaging,negative,18959,"bottle, product, for, like, with"
Skincare,Packing,negative,6173,"box, product, with, seal, broken"
Skincare,Packing,positive,28359,"product, delivery, for, great, box"
Skincare,Packing,neutral,14276,"box, product, for, with, damaged"
Sun Protection,Quality,negative,2455,"bad, skin, for, product, like"
Sun Protection,Quality,neutral,8069,"skin, for, sunscreen, have, product"
Sun Protection,Quality,positive,30603,"skin, good, for, sunscreen, product"
Sun Protection,Packaging,positive,3666,"for, color, skin, sunscreen, product"
Sun Protection,Packaging,neutral,2071,"color, bottle, for, product, sunscreen"
Sun Protection,Packaging,negative,644,"bottle, color, product, for, like"
Sun Protection,Packing,positive,3365,"protection, great, sun, for, product"
Sun Protection,Packing,negative,359,"protection, product, sun, for, have"
Sun Protection,Packing,neutral,1147,"protection, sun, for, product, like"
