category,tag,sentiment,topic_no,top_words
Bodycare,Packaging,positive,1,"Topic 1: reef, safe, product, sun, oxybenzone, ingredients, one, also, sunscreen, skin"
Bodycare,Packaging,positive,2,"Topic 2: product, sunscreen, bottle, amazon, like, products, used, use, skin, spf"
Bodycare,Packaging,positive,3,"Topic 3: bottle, scent, like, smell, great, shave, product, aftershave, love, smells"
Bodycare,Packaging,positive,4,"Topic 4: bottle, product, bottles, great, sunscreen, cap, one, spray, like, use"
Bodycare,Packaging,positive,5,"Topic 5: sunscreen, skin, color, bottle, great, sun, like, love, use, well"
Bodycare,Packaging,neutral,1,"Topic 1: product, bottles, spray, sunscreen, received, reef, bottle, es, return, work"
Bodycare,Packaging,neutral,2,"Topic 2: sunscreen, skin, bottle, like, use, color, white, product, face, well"
Bodycare,Packaging,neutral,3,"Topic 3: sunscreen, skin, like, spf, bottle, lotion, product, white, smell, sun"
Bodycare,Packaging,neutral,4,"Topic 4: bottle, product, like, one, bottles, would, scent, half, get, cap"
Bodycare,Packaging,neutral,5,"Topic 5: sunscreen, bottle, used, product, one, like, time, bottles, sun, use"
Bodycare,Packaging,negative,1,"Topic 1: bottle, product, one, sunscreen, like, skin, use, bottles, spray, color"
Bodycare,Packaging,negative,2,"Topic 2: product, sunscreen, bottle, like, use, used, bottles, white, get, would"
Bodycare,Packaging,negative,3,"Topic 3: bottle, like, scent, lotion, received, one, sunscreen, product, use, disappointed"
Bodycare,Packaging,negative,4,"Topic 4: bottle, product, sunscreen, like, spray, broken, skin, disappointed, used, half"
Bodycare,Packaging,negative,5,"Topic 5: bottle, small, sunscreen, use, color, little, well, product, spray, bottles"
Bodycare,Quality,positive,1,"Topic 1: skin, face, like, use, sunscreen, product, oily, dry, really, using"
Bodycare,Quality,positive,2,"Topic 2: good, scent, smell, like, shave, smells, aftershave, great, product, clean"
Bodycare,Quality,positive,3,"Topic 3: product, sunscreen, used, good, day, sun, get, time, use, got"
Bodycare,Quality,positive,4,"Topic 4: sunscreen, skin, white, sunscreens, good, like, product, one, zinc, spf"
Bodycare,Quality,positive,5,"Topic 5: good, sunscreen, skin, product, great, sun, love, protection, greasy, goes"
Bodycare,Quality,neutral,1,"Topic 1: like, scent, smell, bad, used, smells, sunscreen, use, good, product"
Bodycare,Quality,neutral,2,"Topic 2: product, sunscreen, skin, used, use, bad, would, one, good, time"
Bodycare,Quality,neutral,3,"Topic 3: skin, sunscreen, face, white, like, oily, dry, use, product, greasy"
Bodycare,Quality,neutral,4,"Topic 4: skin, product, use, sunscreen, like, using, shave, used, would, dry"
Bodycare,Quality,neutral,5,"Topic 5: sunscreen, sun, good, get, product, well, little, spray, water, like"
Bodycare,Quality,negative,1,"Topic 1: bad, skin, product, like, got, sunscreen, sun, really, face, smell"
Bodycare,Quality,negative,2,"Topic 2: product, spray, sunscreen, bottle, bad, money, one, return, get, hard"
Bodycare,Quality,negative,3,"Topic 3: product, bad, like, smell, skin, use, one, bumps, used, would"
Bodycare,Quality,negative,4,"Topic 4: skin, oily, good, like, sunscreen, greasy, bad, face, dry, well"
Bodycare,Quality,negative,5,"Topic 5: sunscreen, skin, face, product, white, like, bad, use, used, sun"
Bodycare,Packing,positive,1,"Topic 1: product, safe, reef, box, seal, protection, sealed, like, came, sunscreens"
Bodycare,Packing,positive,2,"Topic 2: protection, sun, used, best, great, sunscreen, ever, size, got, bought"
Bodycare,Packing,positive,3,"Topic 3: protection, great, sun, skin, love, product, sunscreen, easy, use, greasy"
Bodycare,Packing,positive,4,"Topic 4: sunscreen, protection, skin, sun, like, product, face, use, spf, white"
Bodycare,Packing,positive,5,"Topic 5: protection, product, great, sun, sunscreen, water, delivery, time, like, get"
Bodycare,Packing,neutral,1,"Topic 1: sunscreen, like, product, protection, spf, one, sun, box, use, would"
Bodycare,Packing,neutral,2,"Topic 2: product, damaged, protection, sun, box, sunscreen, delivery, get, arrived, skin"
Bodycare,Packing,neutral,3,"Topic 3: protection, sun, skin, white, face, sunscreen, well, use, like, works"
Bodycare,Packing,neutral,4,"Topic 4: sunscreen, product, protection, use, seal, used, like, face, sun, box"
Bodycare,Packing,neutral,5,"Topic 5: protection, sun, skin, product, sunscreen, like, use, great, one, get"
Bodycare,Packing,negative,1,"Topic 1: protection, sun, like, sunscreen, skin, product, use, got, face, applied"
Bodycare,Packing,negative,2,"Topic 2: product, protection, use, sun, seal, disappointed, box, used, like, return"
Bodycare,Packing,negative,3,"Topic 3: product, spray, damaged, disappointed, one, protection, seal, sun, like, package"
Bodycare,Packing,negative,4,"Topic 4: protection, thick, sunscreen, sun, product, box, skin, white, difficult, back"
Bodycare,Packing,negative,5,"Topic 5: product, seal, sunscreen, box, protection, used, like, sun, broken, disappointed"
Haircare,Packaging,positive,1,"Topic 1: bottle, product, spray, love, ingredients, bought, price, hair, use, great"
Haircare,Packaging,positive,2,"Topic 2: bottle, product, shampoo, love, bottles, great, leaked, one, conditioner, received"
Haircare,Packaging,positive,3,"Topic 3: shampoo, bottle, hair, use, product, conditioner, like, great, get, used"
Haircare,Packaging,positive,4,"Topic 4: hair, bottle, conditioner, great, like, shampoo, love, smell, smells, color"
Haircare,Packaging,positive,5,"Topic 5: hair, color, shampoo, product, use, great, love, blonde, purple, using"
Haircare,Packaging,neutral,1,"Topic 1: bottle, product, bottles, one, shampoo, conditioner, ingredients, received, would, two"
Haircare,Packaging,neutral,2,"Topic 2: hair, shampoo, bottle, like, conditioner, product, use, used, using, long"
Haircare,Packaging,neutral,3,"Topic 3: bottle, hair, product, pump, conditioner, get, use, like, cap, thick"
Haircare,Packaging,neutral,4,"Topic 4: hair, color, shampoo, purple, blonde, use, product, red, yellow, el"
Haircare,Packaging,neutral,5,"Topic 5: bottle, product, shampoo, leaked, like, box, bottles, received, one, arrived"
Haircare,Packaging,negative,1,"Topic 1: hair, color, shampoo, use, product, like, conditioner, used, using, would"
Haircare,Packaging,negative,2,"Topic 2: bottle, product, like, shampoo, smell, conditioner, years, using, hair, used"
Haircare,Packaging,negative,3,"Topic 3: product, broken, bottle, cap, arrived, came, shampoo, leaking, return, received"
Haircare,Packaging,negative,4,"Topic 4: bottle, shampoo, product, leaked, disappointed, bottles, half, box, received, small"
Haircare,Packaging,negative,5,"Topic 5: bottle, product, shampoo, like, get, hair, thick, pump, conditioner, hard"
Haircare,Quality,positive,1,"Topic 1: hair, conditioner, shampoo, like, product, products, using, use, dry, good"
Haircare,Quality,positive,2,"Topic 2: hair, shampoo, use, scalp, wash, using, used, day, like, every"
Haircare,Quality,positive,3,"Topic 3: hair, soft, love, product, conditioner, great, use, dry, makes, shampoo"
Haircare,Quality,positive,4,"Topic 4: good, product, smells, price, great, hair, excellent, bottle, works, love"
Haircare,Quality,positive,5,"Topic 5: hair, shampoo, clean, scent, like, great, smell, love, well, really"
Haircare,Quality,neutral,1,"Topic 1: hair, use, conditioner, like, shampoo, dry, product, little, long, well"
Haircare,Quality,neutral,2,"Topic 2: product, bottle, shampoo, good, like, smell, one, used, hair, conditioner"
Haircare,Quality,neutral,3,"Topic 3: scalp, shampoo, like, dandruff, hair, smell, product, use, dry, skin"
Haircare,Quality,neutral,4,"Topic 4: hair, shampoo, conditioner, using, product, dry, used, use, products, like"
Haircare,Quality,neutral,5,"Topic 5: hair, soft, dry, product, makes, use, color, conditioner, shampoo, leaves"
Haircare,Quality,negative,1,"Topic 1: product, bad, bottle, hair, shampoo, like, good, one, color, amazon"
Haircare,Quality,negative,2,"Topic 2: shampoo, hair, product, used, conditioner, using, bar, like, use, disappointed"
Haircare,Quality,negative,3,"Topic 3: hair, dry, product, conditioner, like, shampoo, use, made, feel, used"
Haircare,Quality,negative,4,"Topic 4: scalp, hair, shampoo, using, dandruff, product, bad, dry, use, used"
Haircare,Quality,negative,5,"Topic 5: smell, bad, like, smells, good, hair, scent, product, shampoo, really"
Haircare,Packing,positive,1,"Topic 1: product, box, shampoo, love, came, top, plastic, bottle, sealed, wrapped"
Haircare,Packing,positive,2,"Topic 2: product, like, seal, used, box, shampoo, products, sealed, use, conditioner"
Haircare,Packing,positive,3,"Topic 3: hair, damaged, product, great, love, shampoo, use, conditioner, works, used"
Haircare,Packing,positive,4,"Topic 4: delivery, great, product, fast, price, quick, love, shampoo, thank, amazon"
Haircare,Packing,positive,5,"Topic 5: hair, shampoo, conditioner, damaged, love, use, like, really, products, great"
Haircare,Packing,neutral,1,"Topic 1: hair, product, damaged, shampoo, use, like, conditioner, used, using, really"
Haircare,Packing,neutral,2,"Topic 2: product, seal, box, amazon, years, time, conditioner, using, however, would"
Haircare,Packing,neutral,3,"Topic 3: product, box, shampoo, damaged, came, arrived, open, spilled, opened, seal"
Haircare,Packing,neutral,4,"Topic 4: seal, jar, products, safety, shampoo, coconut, come, conditioner, using, use"
Haircare,Packing,neutral,5,"Topic 5: hair, damaged, delivery, product, shampoo, like, using, would, dye, conditioner"
Haircare,Packing,negative,1,"Topic 1: hair, damaged, product, like, shampoo, used, conditioner, made, one, use"
Haircare,Packing,negative,2,"Topic 2: box, product, broken, shampoo, spilled, came, disappointed, opened, half, arrived"
Haircare,Packing,negative,3,"Topic 3: product, seal, hair, like, shampoo, use, sealed, smell, broken, would"
Haircare,Packing,negative,4,"Topic 4: hair, shampoo, damaged, buy, like, product, money, waste, amazon, box"
Haircare,Packing,negative,5,"Topic 5: product, plastic, damaged, use, shampoo, conditioner, hair, box, item, wrapped"
Makeup,Packaging,positive,1,"Topic 1: color, eyes, easy, use, mascara, eyeliner, product, lashes, like, eye"
Makeup,Packaging,positive,2,"Topic 2: color, love, great, lipstick, perfect, long, beautiful, favorite, find, stays"
Makeup,Packaging,positive,3,"Topic 3: color, like, lipstick, lips, lip, nice, really, pink, would, pretty"
Makeup,Packaging,positive,4,"Topic 4: colors, love, great, beautiful, palette, nice, eyeshadow, well, pigmented, eye"
Makeup,Packaging,positive,5,"Topic 5: one, product, color, skin, would, like, use, get, colors, look"
Makeup,Packaging,neutral,1,"Topic 1: color, el, colores, los, es, muy, que, de, se, la"
Makeup,Packaging,neutral,2,"Topic 2: product, lashes, use, bottle, mascara, get, brush, one, eyes, used"
Makeup,Packaging,neutral,3,"Topic 3: color, lipstick, product, lips, like, one, lip, used, would, even"
Makeup,Packaging,neutral,4,"Topic 4: color, like, long, black, love, day, dark, last, really, use"
Makeup,Packaging,neutral,5,"Topic 5: color, colors, like, pink, one, would, really, red, different, picture"
Makeup,Packaging,negative,1,"Topic 1: product, dried, cap, bottle, broken, color, disappointed, use, lipstick, used"
Makeup,Packaging,negative,2,"Topic 2: color, like, product, money, hard, get, mascara, waste, lashes, use"
Makeup,Packaging,negative,3,"Topic 3: colors, broken, product, one, disappointed, came, small, arrived, return, would"
Makeup,Packaging,negative,4,"Topic 4: color, colors, little, use, like, base, disappointed, lips, stay, lipstick"
Makeup,Packaging,negative,5,"Topic 5: color, like, colors, disappointed, lipstick, dark, wrong, pink, picture, looks"
Makeup,Quality,positive,1,"Topic 1: good, love, product, goes, smooth, great, price, color, smoothly, easy"
Makeup,Quality,positive,2,"Topic 2: color, lipstick, lips, like, lip, dry, love, matte, good, skin"
Makeup,Quality,positive,3,"Topic 3: eyeliner, like, liner, use, easy, get, good, really, brush, one"
