+--------------------------------------------------------------------------+------+
|category                                                                  |count |
+--------------------------------------------------------------------------+------+
|Beauty & Personal Care                                                    |844249|
|Hair Care                                                                 |266495|
|Skin Care                                                                 |174958|
|Makeup                                                                    |105956|
|Face                                                                      |104125|
|Foot, Hand & Nail Care                                                    |103675|
|Hair Extensions, Wigs & Accessories                                       |85019 |
|Tools & Accessories                                                       |83926 |
|Body                                                                      |81731 |
|Nail Art & Polish                                                         |75691 |
|Hair Accessories                                                          |53596 |
|Cleansers                                                                 |46786 |
|Fragrance                                                                 |46729 |
|Eyes                                                                      |42706 |
|Women's                                                                   |40424 |
|Shampoo & Conditioner                                                     |38431 |
|Hair Extensions                                                           |37269 |
|Shave & Hair Removal                                                      |37257 |
|Makeup Brushes & Tools                                                    |36996 |
|Men's                                                                     |36892 |
|Wigs                                                                      |34741 |
|Personal Care                                                             |34272 |
|Styling Tools & Appliances                                                |32837 |
|Moisturizers                                                              |31626 |
|Treatments & Masks                                                        |26700 |
|Lips                                                                      |26258 |
|Nail Polish                                                               |25469 |
|Eye                                                                       |22576 |
|Styling Products                                                          |22415 |
|Creams & Moisturizers                                                     |19904 |
|Clips & Barrettes                                                         |18952 |
|Bath & Bathing Accessories                                                |18730 |
|False Eyelashes & Adhesives                                               |18061 |
|Clips                                                                     |17224 |
|Shampoos                                                                  |16629 |
|False Nails & Accessories                                                 |16567 |
|Nail Art Accessories                                                      |16158 |
|Lotions                                                                   |15615 |
|Soaps                                                                     |15354 |
|Eau de Parfum                                                             |14612 |
|Lipstick                                                                  |14492 |
|Headbands                                                                 |13827 |
|Conditioners                                                              |13589 |
|Masks                                                                     |13310 |
|Eau de Toilette                                                           |12793 |
|Serums                                                                    |11984 |
|Body Washes                                                               |11908 |
|Face Moisturizers                                                         |11683 |
|Bathing Accessories                                                       |11621 |
|False Lashes                                                              |11306 |
|Hairpieces                                                                |11176 |
|Sets & Kits                                                               |11057 |
|Eyeshadow                                                                 |10876 |
|Sunscreens & Tanning Products                                             |10727 |
|Gels                                                                      |10382 |
|Hair Brushes                                                              |10230 |
|Elastics & Ties                                                           |10222 |
|Bags & Cases                                                              |10032 |
|Foundation                                                                |9911  |
|Deodorants & Antiperspirants                                              |9909  |
|Lip Care                                                                  |9689  |
|Hair Coloring Products                                                    |9515  |
|Foot & Hand Care                                                          |9250  |
|Irons                                                                     |8644  |
|Balms & Moisturizers                                                      |8393  |
|Creams                                                                    |8283  |
|Hair Cutting Tools                                                        |8133  |
|Eyeliner                                                                  |7996  |
|Press On Nails                                                            |7967  |
|Lip Glosses                                                               |7912  |
|Refillable Containers                                                     |7379  |
|Eyebrow Color                                                             |7012  |
|Nail Tools                                                                |6906  |
|Bath                                                                      |6906  |
|Skin Care Tools                                                           |6665  |
|Oils                                                                      |6641  |
|Hair Sprays                                                               |6459  |
|Tools                                                                     |6365  |
|Temporary Tattoos                                                         |6350  |
|Brush Sets                                                                |6132  |
|Sunscreens                                                                |5959  |
|Electric Shavers                                                          |5937  |
|Mascara                                                                   |5883  |
|Deodorant                                                                 |5816  |
|Washes                                                                    |5759  |
|Cologne                                                                   |5744  |
|Hair Color                                                                |5694  |
|Hair Combs                                                                |5583  |
